"","orig_index","ak_covid","ak_flu","al_covid","al_flu","ar_covid","ar_flu","az_covid","az_flu","ca_covid","ca_flu","ca_RSV","co_covid","co_flu","co_RSV","ct_covid","ct_flu","ct_RSV","dc_covid","dc_flu","de_covid","de_flu","fl_covid","fl_flu","ga_covid","ga_flu","ga_RSV","hi_covid","hi_flu","ia_covid","ia_flu","id_covid","id_flu","il_covid","il_flu","in_covid","in_flu","ks_covid","ks_flu","ky_covid","ky_flu","la_covid","la_flu","ma_covid","ma_flu","md_covid","md_flu","md_RSV","me_covid","me_flu","mi_covid","mi_flu","mi_RSV","mn_covid","mn_flu","mn_RSV","mo_covid","mo_flu","ms_covid","ms_flu","mt_covid","mt_flu","nc_covid","nc_flu","nd_covid","nd_flu","ne_covid","ne_flu","nh_covid","nh_flu","nj_covid","nj_flu","nm_covid","nm_flu","nm_RSV","nv_covid","nv_flu","ny_covid","ny_flu","ny_RSV","oh_covid","oh_flu","ok_covid","ok_flu","or_covid","or_flu","or_RSV","pa_covid","pa_flu","ri_covid","ri_flu","sc_covid","sc_flu","sd_covid","sd_flu","tn_covid","tn_flu","tn_RSV","tx_covid","tx_flu","ut_covid","ut_flu","ut_RSV","va_covid","va_flu","vt_covid","vt_flu","wa_covid","wa_flu","wi_covid","wi_flu","wv_covid","wv_flu","wy_covid","wy_flu"
"1",202001,0,0,0,0,0,0,0,0,0,0,706.281048,0,0,127.865518,0,0,129.801492,0,0,0,0,0,0,0,0,140.394358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.128225,0,0,0,0,663.353526,0,0,108.44041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.562096,132.241096918158,1.001826444168,0,0,1249.662519,0,0,0,0,0,0,144.36927,0,0,0,0,0,0,0,0,0,0,292.959156,0,0,0,0,93.4633,0,0,0,0,0,0,0,0,0,0,0,0
"2",202002,0,0,0,0,0,0,0,0,0,0,667.043212,0,0,133.677587,0,0,82.928731,0,0,0,0,0,0,0,0,86.396528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.467709,0,0,0,0,391.981629,0,0,102.73302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.562096,132.241096918158,1.001826444168,0,0,654.585129,0,0,0,0,0,0,84.9231,0,0,0,0,0,0,0,0,0,0,195.306104,0,0,0,0,90.125325,0,0,0,0,0,0,0,0,0,0,0,0
"3",202003,0,0,0,0,0,0,0,0,0,0,588.56754,0,0,133.677587,0,0,75.717537,0,0,0,0,0,0,0,0,64.797396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.981548,0,0,0,0,311.575141,0,0,79.90346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.532005,0,0,0,0,654.585129,0,0,0,0,0,0,114.646185,0,0,0,0,0,0,0,0,0,0,146.479578,0,0,0,0,103.477225,0,0,0,0,0,0,0,0,0,0,0,0
"4",202004,0,0,0,0,0,0,0,0,0,0,667.043212,0,0,162.737932,0,0,54.083955,0,0,0,0,0,0,0,0,43.198264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.146677,0,0,0,0,251.270275,0,0,79.90346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.532005,0,0,0,0,654.585129,0,0,0,0,0,0,84.9231,0,0,0,0,0,0,0,0,0,0,118.578706,0,0,0,0,116.829125,0,0,0,0,0,0,0,0,0,0,0,0
"5",202005,0,0,0,0,0,0,0,0,0,0,667.043212,0,0,139.489656,0,0,57.689552,0,0,0,0,0,0,0,0,53.99783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.816419,0,0,0,0,221.117842,0,0,62.78129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.11139,0,0,0,0,575.241477,0,0,0,0,0,0,93.41541,0,0,0,0,0,0,0,0,0,0,118.578706,0,0,0,0,133.519,0,0,0,0,0,0,0,0,0,0,0,0
"6",202006,0,0,0,0,0,0,0,0,0,0,627.805376,0,0,110.429311,0,0,25.239179,0,0,0,0,0,0,0,0,53.99783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.155903,0,0,0,0,160.812976,0,0,57.0739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.197176,0,0,0,0,376.882347,0,0,0,0,0,0,67.93848,0,0,0,0,0,0,0,0,0,0,97.653052,0,0,0,0,163.560775,0,0,0,0,0,0,0,0,0,0,0,0
"7",202007,0,0,0,0,0,0,0,0,0,0,627.805376,0,0,127.865518,0,0,64.900746,0,0,0,0,0,0,0,0,43.198264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.321032,0,0,0,0,190.965409,0,0,45.65912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.849545,0,0,0,0,416.554173,0,0,0,0,0,0,80.676945,0,0,0,0,0,0,0,0,0,0,69.75218,0,0,0,0,90.125325,0,0,0,0,0,0,0,0,0,0,0,0
"8",202008,0,0,0,0,0,0,0,0,0,0,627.805376,0,0,81.368966,0,0,25.239179,0,0,0,0,0,0,0,0,32.398698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.825645,0,0,0,0,190.965409,0,0,39.95173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.038406,0,0,0,0,376.882347,0,0,0,0,0,0,67.93848,0,0,0,0,0,0,0,0,0,0,55.801744,0,0,0,0,126.84305,0,0,0,0,0,0,0,0,0,0,0,0
"9",202009,0,0,0,0,0,0,0,0,0,0,627.805376,0,0,110.429311,0,0,32.450373,0,0,0,0,0,0,0,0,32.398698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.660516,0,0,0,0,90.457299,0,0,22.82956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.489112,0,0,0,0,238.030956,0,0,0,0,0,0,46.707705,0,0,0,0,0,0,0,0,0,0,48.826526,0,0,0,0,80.1114,0,0,0,0,0,0,0,0,0,0,0,0
"10",202010,0,0,0,0,0,0,0,0,0,0,392.37836,0,0,133.677587,0,0,28.844776,0,0,0,0,0,0,0,0,21.599132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.660516,0,0,0,0,130.660543,0,0,39.95173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.836743,0,0,0,0,158.687304,0,0,0,0,0,0,72.184635,0,0,0,0,0,0,0,0,0,0,48.826526,0,0,0,0,83.449375,0,0,0,0,0,0,0,0,0,0,0,0
